Sl No,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
26,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,900,710,17-08-2021
27,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,360,1170,910,03-08-2021
28,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,365,565,487,22-09-2018
29,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,380,1500,1200,05-09-2023
30,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,385,652,514,28-09-2018
31,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,385,3077,1538,27-05-2024
32,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,600,500,05-12-2018
33,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,650,600,23-04-2020
34,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1200,840,23-06-2018
35,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,425,1123,842,29-07-2021
36,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,450,1300,855,25-06-2018
37,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,460,950,715,25-11-2022
38,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,462,3462,1538,05-06-2024
39,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,465,1020,785,30-01-2020
40,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,1000,815,07-01-2021
41,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,580,1250,950,03-11-2022
42,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,900,800,19-02-2023
43,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1150,850,08-06-2023
44,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1280,1000,22-06-2023
45,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1300,1100,30-06-2023
46,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,610,1325,988,31-10-2022
47,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,614,923,769,04-01-2025
48,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,615,1154,769,07-01-2025
49,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,615,1231,769,20-02-2025
50,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,615,1231,846,23-01-2025
51,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,680,1050,910,03-01-2019
52,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,692,1538,1153,12-12-2024
53,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,692,3077,2154,08-11-2024
54,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,700,1200,950,09-01-2023
55,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,700,1200,1000,03-12-2019
56,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,700,1600,1450,28-11-2019
57,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,740,1880,1465,01-10-2022
58,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,740,2200,1548,18-07-2022
59,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,750,1000,900,05-02-2023
60,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,750,1870,1540,30-09-2022
61,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,769,1538,1077,21-12-2024
62,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,769,1692,1077,14-02-2025
63,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,769,3231,1538,26-05-2024
64,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1000,900,08-03-2023
65,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1000,900,14-02-2023
66,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1200,920,03-06-2020
67,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,850,2605,2145,11-07-2022
68,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,900,1600,1250,02-08-2022
69,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1000,1900,1650,18-01-2023
70,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1040,3900,2210,30-09-2021
71,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1300,2500,1985,24-04-2019
72,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1300,7000,5200,14-07-2023
73,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1400,1800,1615,13-06-2020
74,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1400,3500,2432,28-04-2022
75,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1500,2850,2150,10-11-2020
76,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1500,3200,2330,15-04-2019
77,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1700,2300,2120,17-09-2019
78,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1800,3600,2650,30-04-2019
79,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1800,4300,2880,30-10-2021
80,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1800,5100,3750,10-06-2022
81,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1900,2600,2410,21-09-2019
82,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1900,3500,2740,07-09-2019
83,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2200,3500,2860,23-10-2019
84,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2500,3400,3120,01-10-2020
85,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2500,4000,3545,29-05-2019
86,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2565,6240,4275,16-05-2022
87,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2710,3500,3154,21-09-2020
88,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,4210,3340,11-08-2020
89,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2970,3890,3260,10-08-2020
90,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,3800,3461,08-09-2020
91,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3002,7540,4895,10-12-2021
92,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3200,3950,3530,07-07-2020
93,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3400,9125,6245,02-12-2021
94,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3600,4000,3846,14-07-2020
95,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,4800,8500,6258,23-11-2021
96,Kolar,Bangarpet,Tomato,Tomato,FAQ,120,380,260,27-04-2020
97,Kolar,Bangarpet,Tomato,Tomato,FAQ,130,400,380,12-04-2020
98,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,500,300,26-02-2020
99,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,500,330,26-02-2022
100,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,600,400,30-08-2018
101,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,700,400,07-04-2021
102,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,800,400,27-02-2021
103,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,900,500,15-03-2019
104,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,900,500,30-06-2021
105,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,900,550,10-12-2019
106,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,1200,400,03-08-2021
107,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,1500,500,25-08-2021
108,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,3000,1000,23-10-2021
109,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,600,500,12-06-2018
110,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,800,500,24-11-2018
111,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,850,500,28-12-2018
112,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,950,650,22-01-2020
113,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,950,650,24-12-2019
114,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,950,680,08-08-2018
115,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,1350,780,31-01-2019
116,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,1500,850,31-07-2018
117,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,1650,750,13-01-2020
118,Kolar,Bangarpet,Tomato,Tomato,FAQ,260,760,320,19-03-2020
119,Kolar,Bangarpet,Tomato,Tomato,FAQ,280,950,650,27-06-2018
120,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,400,350,09-08-2022
121,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,470,360,10-03-2022
122,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,500,400,25-01-2025
123,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,570,370,23-02-2022
124,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,700,400,15-01-2025
125,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,700,500,13-04-2023
126,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,700,500,31-03-2023
127,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,800,500,15-03-2021
128,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,800,500,30-03-2023
129,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,800,550,16-07-2022
130,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,800,600,18-01-2025
131,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1000,600,07-10-2023
132,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1000,600,30-12-2022
133,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,700,13-05-2023
134,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,700,21-03-2023
135,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,700,23-03-2023
136,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,800,17-01-2025
137,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,800,27-02-2024
138,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,800,28-02-2024
139,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1300,800,15-11-2022
140,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1400,600,22-02-2021
141,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1400,800,07-02-2023
142,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1400,800,27-10-2023
143,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1500,850,19-07-2018
144,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1500,1000,02-04-2024
145,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1500,1000,04-05-2024
146,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1500,1000,12-03-2024
147,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1600,1000,01-04-2024
148,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1600,1000,01-01-2024
149,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1600,1000,27-01-2024
150,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1800,900,15-04-2019
151,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1800,1000,01-06-2023
152,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1800,1000,22-01-2024
153,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1900,900,03-12-2020
154,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,2000,1600,23-04-2024
155,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,2500,1200,30-10-2021
156,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,2500,1400,05-12-2023
157,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,2800,1000,11-10-2021
158,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,3000,1600,14-11-2023
159,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,3100,1200,21-10-2021
160,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,4800,1600,11-11-2021
161,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,4800,1800,09-11-2021
162,Kolar,Bangarpet,Tomato,Tomato,FAQ,350,900,400,26-02-2025
163,Kolar,Bangarpet,Tomato,Tomato,FAQ,350,1200,800,16-02-2019
164,Kolar,Bangarpet,Tomato,Tomato,FAQ,350,1250,950,28-01-2019
165,Kolar,Bangarpet,Tomato,Tomato,FAQ,350,1880,980,21-01-2019
166,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,1000,770,07-02-2022
167,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,1200,750,19-02-2025
168,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,1500,1000,24-01-2023
169,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,2000,1200,02-02-2024
170,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,2000,1200,08-06-2023
171,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,2800,1700,22-09-2022
172,Kolar,Bangarpet,Tomato,Tomato,FAQ,460,2460,1460,10-10-2020
173,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,800,650,22-07-2022
174,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,860,680,15-07-2022
175,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,1850,1250,01-08-2019
176,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,1950,900,07-12-2020
177,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,2580,1850,21-05-2019
178,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,2800,1600,19-09-2022
179,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,4400,2000,27-11-2021
180,Kolar,Bangarpet,Tomato,Tomato,FAQ,520,3200,2000,12-01-2019
181,Kolar,Bangarpet,Tomato,Tomato,FAQ,570,2700,1530,23-04-2022
182,Kolar,Bangarpet,Tomato,Tomato,FAQ,600,2470,1670,29-06-2022
183,Kolar,Bangarpet,Tomato,Tomato,FAQ,600,2470,1730,28-06-2022
184,Kolar,Bangarpet,Tomato,Tomato,FAQ,620,1520,1220,07-07-2020
185,Kolar,Bangarpet,Tomato,Tomato,FAQ,640,2640,1040,25-09-2020
186,Kolar,Bangarpet,Tomato,Tomato,FAQ,660,1020,860,29-06-2020
187,Kolar,Bangarpet,Tomato,Tomato,FAQ,1230,2380,1660,04-01-2022
188,Kolar,Bangarpet,Tomato,Tomato,FAQ,1230,4230,2570,04-05-2022
189,Kolar,Bangarpet,Tomato,Tomato,FAQ,1500,7000,4200,08-07-2023
190,Kolar,Bangarpet,Tomato,Tomato,FAQ,1800,4470,3000,15-06-2022
191,Kolar,Bangarpet,Tomato,Tomato,FAQ,1800,5230,3000,12-05-2022
192,Kolar,Bangarpet,Tomato,Tomato,FAQ,1800,5470,3000,16-05-2022
193,Kolar,Bangarpet,Tomato,Tomato,FAQ,1900,5300,2800,14-05-2022
194,Kolar,Bangarpet,Tomato,Tomato,FAQ,2500,3000,2700,31-05-2024
195,Kolar,Bangarpet,Tomato,Tomato,FAQ,2500,4000,3200,06-12-2024
196,Kolar,Bangarpet,Tomato,Tomato,FAQ,3000,4000,3500,21-12-2024
197,Kolar,Bangarpet,Tomato,Tomato,FAQ,3000,4000,3500,23-10-2024
198,Kolar,Bangarpet,Tomato,Tomato,FAQ,3000,4000,3500,31-07-2024
199,Kolar,Bangarpet,Tomato,Tomato,FAQ,3000,5000,3500,03-12-2024
200,Kolar,Bangarpet,Tomato,Tomato,FAQ,3500,12000,7700,03-08-2023
201,Kolar,Bangarpet,Tomato,Tomato,FAQ,3500,15000,9000,01-08-2023
202,Kolar,Bangarpet,Tomato,Tomato,FAQ,4000,5000,4500,12-07-2024
203,Kolar,Bangarpet,Tomato,Tomato,FAQ,4000,5000,4500,22-10-2024
204,Kolar,Bangarpet,Tomato,Tomato,FAQ,5000,6000,5500,24-06-2024
205,Belgaum,Belgaum,Tomato,Tomato,FAQ,1000,1200,1100,12-10-2023
206,Belgaum,Belgaum,Tomato,Tomato,FAQ,1000,1500,1300,06-11-2023
207,Belgaum,Belgaum,Tomato,Tomato,FAQ,1000,1700,1500,02-09-2021
208,Belgaum,Belgaum,Tomato,Tomato,FAQ,1000,1700,1500,03-09-2021
209,Belgaum,Belgaum,Tomato,Tomato,FAQ,1000,1700,1500,22-09-2021
210,Belgaum,Belgaum,Tomato,Tomato,FAQ,1300,1500,1400,26-03-2022
211,Belgaum,Belgaum,Tomato,Tomato,FAQ,1300,1800,1500,31-05-2021
212,Belgaum,Belgaum,Tomato,Tomato,FAQ,1500,2000,1800,26-11-2022
213,Belgaum,Belgaum,Tomato,Tomato,FAQ,1600,2000,1800,18-11-2023
214,Belgaum,Belgaum,Tomato,Tomato,FAQ,1600,2200,2000,13-01-2023
215,Belgaum,Belgaum,Tomato,Tomato,FAQ,1700,2000,1800,19-04-2023
216,Belgaum,Belgaum,Tomato,Tomato,FAQ,1800,2000,1900,04-09-2023
217,Belgaum,Belgaum,Tomato,Tomato,FAQ,1800,2000,1900,09-04-2022
218,Belgaum,Belgaum,Tomato,Tomato,FAQ,1800,2000,1900,24-08-2022
219,Belgaum,Belgaum,Tomato,Tomato,FAQ,2000,2100,2050,10-02-2023
220,Belgaum,Belgaum,Tomato,Tomato,FAQ,2000,3000,2500,05-03-2022
221,Belgaum,Belgaum,Tomato,Tomato,FAQ,2000,3000,2500,10-03-2021
222,Belgaum,Belgaum,Tomato,Tomato,FAQ,2000,3000,2500,10-11-2022
223,Belgaum,Belgaum,Tomato,Tomato,FAQ,2200,2500,2350,15-05-2024
224,Belgaum,Belgaum,Tomato,Tomato,FAQ,2200,2500,2350,17-05-2024
225,Belgaum,Belgaum,Tomato,Tomato,FAQ,2500,3000,2850,20-05-2024
226,Belgaum,Belgaum,Tomato,Tomato,FAQ,2500,3100,2850,17-02-2021
227,Belgaum,Belgaum,Tomato,Tomato,FAQ,2500,3800,3250,12-09-2020
228,Belgaum,Belgaum,Tomato,Tomato,FAQ,2500,4350,3000,11-12-2021
229,Belgaum,Belgaum,Tomato,Tomato,FAQ,2800,3000,2900,10-09-2022
230,Belgaum,Belgaum,Tomato,Tomato,FAQ,3000,3800,3500,06-01-2021
231,Belgaum,Belgaum,Tomato,Tomato,FAQ,3500,4000,3850,23-12-2023
232,Belgaum,Belgaum,Tomato,Tomato,FAQ,4000,4500,4300,02-11-2022
233,Belgaum,Belgaum,Tomato,Tomato,FAQ,4000,4500,4300,05-08-2024
234,Belgaum,Belgaum,Tomato,Tomato,FAQ,4000,4500,4300,13-10-2022
235,Belgaum,Belgaum,Tomato,Tomato,FAQ,4000,4500,4350,07-10-2022
236,Belgaum,Belgaum,Tomato,Tomato,FAQ,4500,5000,4800,12-07-2024
237,Belgaum,Belgaum,Tomato,Tomato,FAQ,4500,5000,4850,19-06-2024
238,Belgaum,Belgaum,Tomato,Tomato,FAQ,5000,9000,7000,21-07-2023
239,Belgaum,Belgaum,Tomato,Tomato,FAQ,5500,6000,5800,28-06-2024
240,Belgaum,Belgaum,Tomato,Tomato,FAQ,6000,7000,6500,19-07-2024
241,Bellary,Bellary,Tomato,Hybrid,FAQ,800,1000,900,11-04-2020
242,Bellary,Bellary,Tomato,Hybrid,FAQ,800,1000,900,12-05-2020
243,Bellary,Bellary,Tomato,Hybrid,FAQ,800,1200,1000,05-06-2020
244,Hassan,Belur,Tomato,Hybrid,FAQ,500,500,500,29-08-2019
245,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,02-07-2020
246,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,03-01-2025
247,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,06-02-2025
248,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,13-05-2021
249,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,19-08-2021
250,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,21-03-2021
251,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,25-12-2019
252,Hassan,Belur,Tomato,Hybrid,FAQ,1300,1300,1300,03-02-2021
253,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,04-11-2020
254,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,05-01-2023
255,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,10-07-2022
256,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,11-06-2023
257,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,23-03-2022
258,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2500,2000,28-01-2024
259,Hassan,Belur,Tomato,Hybrid,FAQ,2850,2850,2850,30-08-2020
260,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,400,600,500,04-05-2020
261,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,500,700,600,03-09-2018
262,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,500,800,600,23-04-2020
263,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,01-04-2023
264,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,10-10-2018
265,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,12-08-2021
266,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,14-05-2020
267,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,19-03-2020
268,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,22-09-2018
269,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,1000,800,24-05-2021
270,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,1000,800,28-03-2023
271,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,900,800,15-04-2023
272,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,900,800,25-08-2021
273,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,900,800,26-07-2021
274,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,900,800,31-07-2021
275,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,1000,900,03-10-2023
276,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1000,900,09-05-2023
277,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1000,900,17-04-2025
278,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1000,900,23-08-2018
279,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1000,900,27-07-2021
280,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1200,1000,07-02-2020
281,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,900,1000,950,19-08-2021
282,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,900,1100,1000,13-10-2023
283,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,900,1100,1000,28-07-2021
284,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,900,1200,1100,31-03-2022
285,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,900,1400,1000,07-04-2020
286,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,05-08-2019
287,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,08-09-2023
288,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,09-06-2023
289,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,20-04-2021
290,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,22-09-2021
291,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,24-02-2025
292,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,28-02-2025
293,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,30-01-2021
294,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1300,1200,28-03-2019
295,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1400,1200,26-08-2019
296,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1400,1200,28-06-2021
297,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1500,1200,19-10-2023
298,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1500,1200,27-11-2018
299,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1500,1300,20-02-2020
300,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1600,1400,12-08-2024
301,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1400,1300,04-04-2025
