Sl No,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
36,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,450,1300,855,2018-06-25
37,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,460,950,715,2022-11-25
38,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,462,3462,1538,2024-06-05
39,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,465,1020,785,2020-01-30
40,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,1000,815,2021-01-07
41,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,580,1250,950,2022-11-03
42,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,900,800,2023-02-19
43,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1150,850,2023-06-08
44,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1280,1000,2023-06-22
45,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1300,1100,2023-06-30
46,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,610,1325,988,2022-10-31
47,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,614,923,769,2025-01-04
48,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,615,1154,769,2025-01-07
49,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,615,1231,769,2025-02-20
50,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,615,1231,846,2025-01-23
51,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,680,1050,910,2019-01-03
52,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,692,1538,1153,2024-12-12
53,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,692,3077,2154,2024-11-08
54,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,700,1200,950,2023-01-09
55,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,700,1200,1000,2019-12-03
56,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,700,1600,1450,2019-11-28
57,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,740,1880,1465,2022-10-01
58,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,740,2200,1548,2022-07-18
59,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,750,1000,900,2023-02-05
60,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,750,1870,1540,2022-09-30
61,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,769,1538,1077,2024-12-21
62,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,769,1692,1077,2025-02-14
63,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,769,3231,1538,2024-05-26
64,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1000,900,2023-03-08
65,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1000,900,2023-02-14
66,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1200,920,2020-06-03
67,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,850,2605,2145,2022-07-11
68,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,900,1600,1250,2022-08-02
69,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1000,1900,1650,2023-01-18
70,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1040,3900,2210,2021-09-30
71,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1300,2500,1985,2019-04-24
72,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1300,7000,5200,2023-07-14
73,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1400,1800,1615,2020-06-13
74,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1400,3500,2432,2022-04-28
75,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1500,2850,2150,2020-11-10
76,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1500,3200,2330,2019-04-15
77,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1700,2300,2120,2019-09-17
78,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1800,3600,2650,2019-04-30
79,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1800,4300,2880,2021-10-30
80,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1800,5100,3750,2022-06-10
81,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1900,2600,2410,2019-09-21
82,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1900,3500,2740,2019-09-07
83,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2200,3500,2860,2019-10-23
84,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2500,3400,3120,2020-10-01
85,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2500,4000,3545,2019-05-29
86,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2565,6240,4275,2022-05-16
87,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2710,3500,3154,2020-09-21
88,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,4210,3340,2020-08-11
89,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2970,3890,3260,2020-08-10
90,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,3800,3461,2020-09-08
91,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3002,7540,4895,2021-12-10
92,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3200,3950,3530,2020-07-07
93,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3400,9125,6245,2021-12-02
94,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3600,4000,3846,2020-07-14
95,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,4800,8500,6258,2021-11-23
96,Kolar,Bangarpet,Tomato,Tomato,FAQ,120,380,260,2020-04-27
97,Kolar,Bangarpet,Tomato,Tomato,FAQ,130,400,380,2020-04-12
98,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,500,300,2020-02-26
99,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,500,330,2022-02-26
100,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,600,400,2018-08-30
101,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,700,400,2021-04-07
102,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,800,400,2021-02-27
103,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,900,500,2019-03-15
104,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,900,500,2021-06-30
105,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,900,550,2019-12-10
106,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,1200,400,2021-08-03
107,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,1500,500,2021-08-25
108,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,3000,1000,2021-10-23
109,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,600,500,2018-06-12
110,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,800,500,2018-11-24
111,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,850,500,2018-12-28
112,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,950,650,2020-01-22
113,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,950,650,2019-12-24
114,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,950,680,2018-08-08
115,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,1350,780,2019-01-31
116,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,1500,850,2018-07-31
117,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,1650,750,2020-01-13
118,Kolar,Bangarpet,Tomato,Tomato,FAQ,260,760,320,2020-03-19
119,Kolar,Bangarpet,Tomato,Tomato,FAQ,280,950,650,2018-06-27
120,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,400,350,2022-08-09
121,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,470,360,2022-03-10
122,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,500,400,2025-01-25
123,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,570,370,2022-02-23
124,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,700,400,2025-01-15
125,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,700,500,2023-04-13
126,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,700,500,2023-03-31
127,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,800,500,2021-03-15
128,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,800,500,2023-03-30
129,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,800,550,2022-07-16
130,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,800,600,2025-01-18
131,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1000,600,2023-10-07
132,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1000,600,2022-12-30
133,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,700,2023-05-13
134,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,700,2023-03-21
135,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,700,2023-03-23
136,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,800,2025-01-17
137,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,800,2024-02-27
138,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1200,800,2024-02-28
139,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1300,800,2022-11-15
140,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1400,600,2021-02-22
141,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1400,800,2023-02-07
142,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1400,800,2023-10-27
143,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1500,850,2018-07-19
144,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1500,1000,2024-04-02
145,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1500,1000,2024-05-04
146,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1500,1000,2024-03-12
147,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1600,1000,2024-04-01
148,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1600,1000,2024-01-01
149,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1600,1000,2024-01-27
150,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1800,900,2019-04-15
151,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1800,1000,2023-06-01
152,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1800,1000,2024-01-22
153,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1900,900,2020-12-03
154,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,2000,1600,2024-04-23
155,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,2500,1200,2021-10-30
156,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,2500,1400,2023-12-05
157,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,2800,1000,2021-10-11
158,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,3000,1600,2023-11-14
159,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,3100,1200,2021-10-21
160,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,4800,1600,2021-11-11
161,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,4800,1800,2021-11-09
162,Kolar,Bangarpet,Tomato,Tomato,FAQ,350,900,400,2025-02-26
163,Kolar,Bangarpet,Tomato,Tomato,FAQ,350,1200,800,2019-02-16
164,Kolar,Bangarpet,Tomato,Tomato,FAQ,350,1250,950,2019-01-28
165,Kolar,Bangarpet,Tomato,Tomato,FAQ,350,1880,980,2019-01-21
166,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,1000,770,2022-02-07
167,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,1200,750,2025-02-19
168,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,1500,1000,2023-01-24
169,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,2000,1200,2024-02-02
170,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,2000,1200,2023-06-08
171,Kolar,Bangarpet,Tomato,Tomato,FAQ,400,2800,1700,2022-09-22
172,Kolar,Bangarpet,Tomato,Tomato,FAQ,460,2460,1460,2020-10-10
173,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,800,650,2022-07-22
174,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,860,680,2022-07-15
175,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,1850,1250,2019-08-01
176,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,1950,900,2020-12-07
177,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,2580,1850,2019-05-21
178,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,2800,1600,2022-09-19
179,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,4400,2000,2021-11-27
180,Kolar,Bangarpet,Tomato,Tomato,FAQ,520,3200,2000,2019-01-12
181,Kolar,Bangarpet,Tomato,Tomato,FAQ,570,2700,1530,2022-04-23
182,Kolar,Bangarpet,Tomato,Tomato,FAQ,600,2470,1670,2022-06-29
183,Kolar,Bangarpet,Tomato,Tomato,FAQ,600,2470,1730,2022-06-28
184,Kolar,Bangarpet,Tomato,Tomato,FAQ,620,1520,1220,2020-07-07
185,Kolar,Bangarpet,Tomato,Tomato,FAQ,640,2640,1040,2020-09-25
186,Kolar,Bangarpet,Tomato,Tomato,FAQ,660,1020,860,2020-06-29
187,Kolar,Bangarpet,Tomato,Tomato,FAQ,1230,2380,1660,2022-01-04
188,Kolar,Bangarpet,Tomato,Tomato,FAQ,1230,4230,2570,2022-05-04
189,Kolar,Bangarpet,Tomato,Tomato,FAQ,1500,7000,4200,2023-07-08
190,Kolar,Bangarpet,Tomato,Tomato,FAQ,1800,4470,3000,2022-06-15
191,Kolar,Bangarpet,Tomato,Tomato,FAQ,1800,5230,3000,2022-05-12
192,Kolar,Bangarpet,Tomato,Tomato,FAQ,1800,5470,3000,2022-05-16
193,Kolar,Bangarpet,Tomato,Tomato,FAQ,1900,5300,2800,2022-05-14
194,Kolar,Bangarpet,Tomato,Tomato,FAQ,2500,3000,2700,2024-05-31
195,Kolar,Bangarpet,Tomato,Tomato,FAQ,2500,4000,3200,2024-12-06
196,Kolar,Bangarpet,Tomato,Tomato,FAQ,3000,4000,3500,2024-12-21
197,Kolar,Bangarpet,Tomato,Tomato,FAQ,3000,4000,3500,2024-10-23
198,Kolar,Bangarpet,Tomato,Tomato,FAQ,3000,4000,3500,2024-07-31
199,Kolar,Bangarpet,Tomato,Tomato,FAQ,3000,5000,3500,2024-12-03
200,Kolar,Bangarpet,Tomato,Tomato,FAQ,3500,12000,7700,2023-08-03
201,Kolar,Bangarpet,Tomato,Tomato,FAQ,3500,15000,9000,2023-08-01
202,Kolar,Bangarpet,Tomato,Tomato,FAQ,4000,5000,4500,2024-07-12
203,Kolar,Bangarpet,Tomato,Tomato,FAQ,4000,5000,4500,2024-10-22
204,Kolar,Bangarpet,Tomato,Tomato,FAQ,5000,6000,5500,2024-06-24
205,Belgaum,Belgaum,Tomato,Tomato,FAQ,1000,1200,1100,2023-10-12
206,Belgaum,Belgaum,Tomato,Tomato,FAQ,1000,1500,1300,2023-11-06
207,Belgaum,Belgaum,Tomato,Tomato,FAQ,1000,1700,1500,2021-09-02
208,Belgaum,Belgaum,Tomato,Tomato,FAQ,1000,1700,1500,2021-09-03
209,Belgaum,Belgaum,Tomato,Tomato,FAQ,1000,1700,1500,2021-09-22
210,Belgaum,Belgaum,Tomato,Tomato,FAQ,1300,1500,1400,2022-03-26
211,Belgaum,Belgaum,Tomato,Tomato,FAQ,1300,1800,1500,2021-05-31
212,Belgaum,Belgaum,Tomato,Tomato,FAQ,1500,2000,1800,2022-11-26
213,Belgaum,Belgaum,Tomato,Tomato,FAQ,1600,2000,1800,2023-11-18
214,Belgaum,Belgaum,Tomato,Tomato,FAQ,1600,2200,2000,2023-01-13
215,Belgaum,Belgaum,Tomato,Tomato,FAQ,1700,2000,1800,2023-04-19
216,Belgaum,Belgaum,Tomato,Tomato,FAQ,1800,2000,1900,2023-09-04
217,Belgaum,Belgaum,Tomato,Tomato,FAQ,1800,2000,1900,2022-04-09
218,Belgaum,Belgaum,Tomato,Tomato,FAQ,1800,2000,1900,2022-08-24
219,Belgaum,Belgaum,Tomato,Tomato,FAQ,2000,2100,2050,2023-02-10
220,Belgaum,Belgaum,Tomato,Tomato,FAQ,2000,3000,2500,2022-03-05
221,Belgaum,Belgaum,Tomato,Tomato,FAQ,2000,3000,2500,2021-03-10
222,Belgaum,Belgaum,Tomato,Tomato,FAQ,2000,3000,2500,2022-11-10
223,Belgaum,Belgaum,Tomato,Tomato,FAQ,2200,2500,2350,2024-05-15
224,Belgaum,Belgaum,Tomato,Tomato,FAQ,2200,2500,2350,2024-05-17
225,Belgaum,Belgaum,Tomato,Tomato,FAQ,2500,3000,2850,2024-05-20
226,Belgaum,Belgaum,Tomato,Tomato,FAQ,2500,3100,2850,2021-02-17
227,Belgaum,Belgaum,Tomato,Tomato,FAQ,2500,3800,3250,2020-09-12
228,Belgaum,Belgaum,Tomato,Tomato,FAQ,2500,4350,3000,2021-12-11
229,Belgaum,Belgaum,Tomato,Tomato,FAQ,2800,3000,2900,2022-09-10
230,Belgaum,Belgaum,Tomato,Tomato,FAQ,3000,3800,3500,2021-01-06
231,Belgaum,Belgaum,Tomato,Tomato,FAQ,3500,4000,3850,2023-12-23
232,Belgaum,Belgaum,Tomato,Tomato,FAQ,4000,4500,4300,2022-11-02
233,Belgaum,Belgaum,Tomato,Tomato,FAQ,4000,4500,4300,2024-08-05
234,Belgaum,Belgaum,Tomato,Tomato,FAQ,4000,4500,4300,2022-10-13
235,Belgaum,Belgaum,Tomato,Tomato,FAQ,4000,4500,4350,2022-10-07
236,Belgaum,Belgaum,Tomato,Tomato,FAQ,4500,5000,4800,2024-07-12
237,Belgaum,Belgaum,Tomato,Tomato,FAQ,4500,5000,4850,2024-06-19
238,Belgaum,Belgaum,Tomato,Tomato,FAQ,5000,9000,7000,2023-07-21
239,Belgaum,Belgaum,Tomato,Tomato,FAQ,5500,6000,5800,2024-06-28
240,Belgaum,Belgaum,Tomato,Tomato,FAQ,6000,7000,6500,2024-07-19
241,Bellary,Bellary,Tomato,Hybrid,FAQ,800,1000,900,2020-04-11
242,Bellary,Bellary,Tomato,Hybrid,FAQ,800,1000,900,2020-05-12
243,Bellary,Bellary,Tomato,Hybrid,FAQ,800,1200,1000,2020-06-05
244,Hassan,Belur,Tomato,Hybrid,FAQ,500,500,500,2019-08-29
245,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,2020-07-02
246,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,2025-01-03
247,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,2025-02-06
248,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,2021-05-13
249,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,2021-08-19
250,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,2021-03-21
251,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,2019-12-25
252,Hassan,Belur,Tomato,Hybrid,FAQ,1300,1300,1300,2021-02-03
253,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,2020-11-04
254,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,2023-01-05
255,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,2022-07-10
256,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,2023-06-11
257,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2000,2000,2022-03-23
258,Hassan,Belur,Tomato,Hybrid,FAQ,2000,2500,2000,2024-01-28
259,Hassan,Belur,Tomato,Hybrid,FAQ,2850,2850,2850,2020-08-30
260,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,400,600,500,2020-05-04
261,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,500,700,600,2018-09-03
262,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,500,800,600,2020-04-23
263,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,2023-04-01
264,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,2018-10-10
265,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,2021-08-12
266,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,2020-05-14
267,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,2020-03-19
268,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,2018-09-22
269,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,1000,800,2021-05-24
270,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,1000,800,2023-03-28
271,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,900,800,2023-04-15
272,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,900,800,2021-08-25
273,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,900,800,2021-07-26
274,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,900,800,2021-07-31
275,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,1000,900,2023-10-03
276,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1000,900,2023-05-09
277,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1000,900,2025-04-17
278,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1000,900,2018-08-23
279,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1000,900,2021-07-27
280,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1200,1000,2020-02-07
281,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,900,1000,950,2021-08-19
282,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,900,1100,1000,2023-10-13
283,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,900,1100,1000,2021-07-28
284,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,900,1200,1100,2022-03-31
285,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,900,1400,1000,2020-04-07
286,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,2019-08-05
287,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,2023-09-08
288,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,2023-06-09
289,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,2021-04-20
290,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,2021-09-22
291,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,2025-02-24
292,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,2025-02-28
293,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1200,1100,2021-01-30
294,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1300,1200,2019-03-28
295,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1400,1200,2019-08-26
296,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1400,1200,2021-06-28
297,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1500,1200,2023-10-19
298,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1500,1200,2018-11-27
299,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1500,1300,2020-02-20
300,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1600,1400,2024-08-12
301,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1200,1400,1300,2025-04-04
